kind,container,entry,offset,clen,ulen,method,verified,crc_ok,note
raw-zlib,zlib@219471,,219471,1542,3494,deflate,1,1,head=7801
raw-zlib,zlib@221258,,221258,1589,3825,deflate,1,1,head=7801
raw-zlib,zlib@223082,,223082,812,1641,deflate,1,1,head=7801
raw-zlib,zlib@224171,,224171,2085,4725,deflate,1,1,head=7801
raw-zlib,zlib@226525,,226525,2114,4649,deflate,1,1,head=7801
raw-zlib,zlib@228883,,228883,1030,2701,deflate,1,1,head=7801
raw-zlib,zlib@230182,,230182,1429,3646,deflate,1,1,head=7801
raw-zlib,zlib@231889,,231889,1781,4093,deflate,1,1,head=7801
raw-zlib,zlib@233948,,233948,1836,5216,deflate,1,1,head=7801
raw-zlib,zlib@236034,,236034,860,1935,deflate,1,1,head=7801
raw-zlib,zlib@237138,,237138,1670,3787,deflate,1,1,head=7801
raw-zlib,zlib@239043,,239043,1691,3783,deflate,1,1,head=7801
raw-zlib,zlib@240978,,240978,1820,4414,deflate,1,1,head=7801
raw-zlib,zlib@243048,,243048,1782,3994,deflate,1,1,head=7801
raw-zlib,zlib@245117,,245117,1989,4453,deflate,1,1,head=7801
raw-zlib,zlib@247374,,247374,1521,4083,deflate,1,1,head=7801
raw-zlib,zlib@249172,,249172,1279,3025,deflate,1,1,head=7801
raw-zlib,zlib@250704,,250704,1172,3169,deflate,1,1,head=7801
raw-zlib,zlib@252120,,252120,1385,3551,deflate,1,1,head=7801
raw-zlib,zlib@253759,,253759,1577,4272,deflate,1,1,head=7801
raw-zlib,zlib@255562,,255562,399,626,deflate,1,1,head=7801
raw-zlib,zlib@256220,,256220,1597,3396,deflate,1,1,head=7801
raw-zlib,zlib@258067,,258067,1117,2302,deflate,1,1,head=7801
raw-zlib,zlib@259434,,259434,1481,3248,deflate,1,1,head=7801
raw-zlib,zlib@261192,,261192,734,1462,deflate,1,1,head=7801
raw-zlib,zlib@262175,,262175,5352,24430,deflate,1,1,head=7801
raw-zlib,zlib@267777,,267777,5223,23794,deflate,1,1,head=7801
raw-zlib,zlib@273250,,273250,5057,22751,deflate,1,1,head=7801
raw-zlib,zlib@278557,,278557,699,2709,deflate,1,1,head=7801
raw-zlib,zlib@6666310,,6666310,4084,13689,deflate,1,1,head=789c
raw-zlib,zlib@6670487,,6670487,1458,7130,deflate,1,1,head=789c
raw-zlib,zlib@6672038,,6672038,376,912,deflate,1,1,head=789c
raw-zlib,zlib@6672506,,6672506,4112,13221,deflate,1,1,head=789c
raw-zlib,zlib@6676711,,6676711,4625,14593,deflate,1,1,head=789c
raw-zlib,zlib@6681431,,6681431,2433,7368,deflate,1,1,head=789c
raw-zlib,zlib@6683960,,6683960,3956,12540,deflate,1,1,head=789c
raw-zlib,zlib@6688012,,6688012,4081,13493,deflate,1,1,head=789c
raw-zlib,zlib@6692189,,6692189,4618,14815,deflate,1,1,head=789c
raw-zlib,zlib@6696903,,6696903,3688,13732,deflate,1,1,head=789c
raw-zlib,zlib@6700687,,6700687,3748,11932,deflate,1,1,head=789c
raw-zlib,zlib@6704531,,6704531,3739,11809,deflate,1,1,head=789c
raw-zlib,zlib@6708366,,6708366,3570,11362,deflate,1,1,head=789c
raw-zlib,zlib@6712032,,6712032,3999,12887,deflate,1,1,head=789c
raw-zlib,zlib@6716127,,6716127,3844,12773,deflate,1,1,head=789c
raw-zlib,zlib@6720067,,6720067,5081,17342,deflate,1,1,head=789c
raw-zlib,zlib@6725244,,6725244,4122,16045,deflate,1,1,head=789c
raw-zlib,zlib@6729462,,6729462,3646,11522,deflate,1,1,head=789c
raw-zlib,zlib@6733204,,6733204,4911,16606,deflate,1,1,head=789c
raw-zlib,zlib@6738211,,6738211,3915,12389,deflate,1,1,head=789c
raw-zlib,zlib@6742222,,6742222,3909,12366,deflate,1,1,head=789c
raw-zlib,zlib@6746227,,6746227,4230,14101,deflate,1,1,head=789c
raw-zlib,zlib@6750553,,6750553,4246,18660,deflate,1,1,head=789c
raw-zlib,zlib@6754895,,6754895,4134,19356,deflate,1,1,head=789c
raw-zlib,zlib@6759125,,6759125,3383,21549,deflate,1,1,head=789c
raw-zlib,zlib@6762604,,6762604,4592,15179,deflate,1,1,head=789c
raw-zlib,zlib@6767292,,6767292,2855,8867,deflate,1,1,head=789c
raw-zlib,zlib@6770243,,6770243,2811,8343,deflate,1,1,head=789c
raw-zlib,zlib@6773150,,6773150,4459,14746,deflate,1,1,head=789c
raw-zlib,zlib@6777705,,6777705,4142,15317,deflate,1,1,head=789c
raw-zlib,zlib@6781943,,6781943,2555,9962,deflate,1,1,head=789c
raw-zlib,zlib@6784594,,6784594,2432,7919,deflate,1,1,head=789c
raw-zlib,zlib@6787122,,6787122,3714,11998,deflate,1,1,head=789c
raw-zlib,zlib@6790932,,6790932,3040,9346,deflate,1,1,head=789c
raw-zlib,zlib@6794068,,6794068,4823,15875,deflate,1,1,head=789c
raw-zlib,zlib@6798987,,6798987,5624,18456,deflate,1,1,head=789c
raw-zlib,zlib@6804707,,6804707,4182,14448,deflate,1,1,head=789c
raw-zlib,zlib@6808985,,6808985,2570,8698,deflate,1,1,head=789c
raw-zlib,zlib@6811651,,6811651,3220,10527,deflate,1,1,head=789c
raw-zlib,zlib@6814967,,6814967,4687,17397,deflate,1,1,head=789c
raw-zlib,zlib@6819750,,6819750,4451,17357,deflate,1,1,head=789c
raw-zlib,zlib@6824297,,6824297,3797,13092,deflate,1,1,head=789c
raw-zlib,zlib@6828190,,6828190,3520,11936,deflate,1,1,head=789c
raw-zlib,zlib@6831806,,6831806,2903,9232,deflate,1,1,head=789c
raw-zlib,zlib@6834805,,6834805,4731,15744,deflate,1,1,head=789c
raw-zlib,zlib@6839632,,6839632,3645,12466,deflate,1,1,head=789c
raw-zlib,zlib@6843373,,6843373,3025,10158,deflate,1,1,head=789c
raw-zlib,zlib@6846494,,6846494,3400,11719,deflate,1,1,head=789c
raw-zlib,zlib@6849990,,6849990,4033,13023,deflate,1,1,head=789c
raw-zlib,zlib@6854119,,6854119,4780,15489,deflate,1,1,head=789c
raw-zlib,zlib@6858995,,6858995,4560,17286,deflate,1,1,head=789c
raw-zlib,zlib@6863651,,6863651,4113,17656,deflate,1,1,head=789c
raw-zlib,zlib@6867860,,6867860,3621,11123,deflate,1,1,head=789c
raw-zlib,zlib@6871577,,6871577,5229,18090,deflate,1,1,head=789c
raw-zlib,zlib@6876902,,6876902,4011,13660,deflate,1,1,head=789c
raw-zlib,zlib@6881009,,6881009,3363,10851,deflate,1,1,head=789c
raw-zlib,zlib@6884468,,6884468,4095,13823,deflate,1,1,head=789c
raw-zlib,zlib@6888659,,6888659,4684,15917,deflate,1,1,head=789c
raw-zlib,zlib@6893439,,6893439,3758,12086,deflate,1,1,head=789c
raw-zlib,zlib@6897293,,6897293,4065,13688,deflate,1,1,head=789c
raw-zlib,zlib@6901454,,6901454,4566,15462,deflate,1,1,head=789c
raw-zlib,zlib@6906116,,6906116,4419,14911,deflate,1,1,head=789c
raw-zlib,zlib@6910631,,6910631,2865,8923,deflate,1,1,head=789c
raw-zlib,zlib@6913592,,6913592,4189,14546,deflate,1,1,head=789c
raw-zlib,zlib@6917877,,6917877,5087,18123,deflate,1,1,head=789c
raw-zlib,zlib@6923060,,6923060,4387,14523,deflate,1,1,head=789c
raw-zlib,zlib@6927543,,6927543,3421,11363,deflate,1,1,head=789c
raw-zlib,zlib@6931060,,6931060,4092,13536,deflate,1,1,head=789c
raw-zlib,zlib@6935248,,6935248,3495,11933,deflate,1,1,head=789c
raw-zlib,zlib@6938839,,6938839,2567,8046,deflate,1,1,head=789c
raw-zlib,zlib@6980810,,6980810,591,606,deflate,1,1,head=789c
raw-zlib,zlib@6981742,,6981742,398,409,deflate,1,1,head=789c
raw-zlib,zlib@6982462,,6982462,277,279,deflate,1,1,head=789c
raw-zlib,zlib@6983083,,6983083,385,390,deflate,1,1,head=789c
